id,0-4_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,5-9_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,ASIAN_FEMALE_rate,ASIAN_MALE_rate,Amish,Area in square miles - Land area,Area in square miles - Total area,Area in square miles - Water area,BLACK_FEMALE_rate,BLACK_MALE_rate,BLACK_rate,Buddhist,Catholic,Christian Generic,Deep_Pov_All,Deep_Pov_Children,Democrat,Density per square mile of land area - Housing units,Density per square mile of land area - Population,Eastern Orthodox,HAWAIIAN_PACIFIC_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_rate,Hindu,Housing units,Jewish,MULTI_FEMALE_rate,MULTI_MALE_rate,MULTI_rate,Mainline Christian,MedHHInc2014,Mormon,Muslim,NATIVE_AMERICAN_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_rate,Non-Catholic Christian,Other,Other Christian,Other Misc,POP_ESTIMATE_2015,Pentecostal Charismatic,PerCapitaInc,"Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2010-2014","Percent of adults with a bachelor's degree or higher, 2011-2015","Percent of adults with a high school diploma only, 2010-2014","Percent of adults with a high school diploma only, 2011-2015","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with less than a high school diploma, 2011-2015",Population,PovertyAllAgesPct2014,PovertyUnder18Pct2014,Protestant Denomination,TOT_FEMALE_rate,TOT_MALE_rate,Unemployment_rate_2015,WHITE_FEMALE_rate,WHITE_MALE_rate,WHITE_rate,Zoroastrian,age_total_pop,voter_turnout_rate,votes
35013,0.072045545,0.070010966,0.079642549,0.111551833,0.062894608,0.061732658,0.054882288,0.051872419,0.051209781,0.070010966,0.058545463,0.057640169,0.052535057,0.048008586,0.035908444,0.026860169,0.018507198,0.017447911,0.007069694,0.006481719,0,3807.51,3814.38,6.87,0.009972235,0.012599454,0,0,635,140,10.79677036,16.22774244,1,21.4,55,0,0.000937959,0.000877295,0,1,81492,2,0.009650248,0.009104272,0,42,38974,21,2,0.011946149,0.011927483,0,51,32,3,15,214295,26,20058,28.68794493,0,27.43623592,0,21.84479751,0,22.03102164,0,0,27.9,39.4,2,0.507165356,0.492834644,7.4,0.467589071,0.45184442,0,0,214295,0.326069204,0
35015,0.073760811,0.072492966,0.071173017,0.068828372,0.070356733,0.069349404,0.060995519,0.05467366,0.056097815,0.072492966,0.064330126,0.066952656,0.059171906,0.044947723,0.032686095,0.024731668,0.018340338,0.018618222,0.005140852,0.003734065,0,4175.73,4197.52,21.8,0.008579666,0.011810066,0,0,492,374,5.426514033,6.395431834,0,5.4,12.9,0,0.000555768,0.000659974,0,0,22585,0,0.008718608,0.008527563,0,88,57007,27,0,0.011671124,0.012487408,0,201,29,9,34,57578,41,27630,31.27749601,0,16.80724073,0,33.89749769,0,18.01776557,0,0,14.1,18.5,1,0.493348154,0.506651846,4.9,0.458682136,0.469432769,0,0,57578,0.34044253,0
35017,0.054598203,0.058023699,0.062672586,0.056695445,0.048166661,0.050124087,0.050019225,0.047327764,0.049529868,0.058023699,0.060854976,0.070432381,0.081757489,0.08298088,0.064000839,0.042783739,0.030829459,0.031982942,0.004229438,0.003949806,0,3961.63,3967.55,5.93,0.004753749,0.007934566,0,1,649,115,9.54852644,14.50165328,1,3.7,7.4,0,0.000803943,0.000664127,0,0,14693,0,0.010416303,0.010800797,0,42,38221,55,0,0.011639694,0.011080429,0,45,59,1,9,28609,17,23411,32.19691474,0,25.59117946,0,27.3901059,0,14.82179989,0,0,19.1,27.8,2,0.50697333,0.49302667,6.6,0.475130204,0.458596945,0,0,28609,0.444370653,0
35019,0.046213681,0.060855639,0.053992221,0.062685884,0.071837108,0.078471746,0.063601007,0.051246854,0.05353466,0.060855639,0.073667353,0.078014184,0.056966369,0.053763441,0.041180508,0.041180508,0.026309769,0.025623427,0.005948296,0.005033173,0,3030.48,3031.6,1.11,0.002059025,0.021734157,0,0,1706,44,6.152294503,11.33333333,1,0.8,1.5,0,0,0,0,0,2393,0,0.006634637,0.010752688,0,21,29147,0,0,0.011210249,0.017844887,0,9,0,0,0,4371,13,15192,22.47324614,0,12.81212842,0,39.89298454,0,24.8216409,0,0,25.8,33.1,0,0.43148021,0.56851979,7.1,0.405628003,0.513154884,0,0,4371,0.415008007,0
35021,0.042979943,0.051575931,0.05730659,0.041547278,0.028653295,0.05730659,0.045845272,0.022922636,0.045845272,0.051575931,0.081661891,0.080229226,0.114613181,0.088825215,0.05730659,0.055873926,0.051575931,0.050143266,0.001432665,0,0,2125.44,2125.89,0.45,0.00286533,0.010028653,0,0,1749,359,3.511450382,0,0,0.2,0.3,0,0,0,0,0,526,0,0.007163324,0.004297994,0,44,40380,0,0,0.005730659,0.010028653,0,283,0,31,0,698,0,18565,21.2244898,0,23.87755102,0,44.08163265,0,10.81632653,0,0,14.8,19,0,0.46991404,0.53008596,8.6,0.452722063,0.505730659,0,0,698,0.755014327,0
35023,0.063757631,0.063757631,0.06624463,0.067375085,0.053809631,0.061722813,0.042505087,0.042505087,0.064209812,0.063757631,0.077096993,0.068957721,0.06873163,0.066470721,0.046348632,0.036852815,0.024643907,0.026226543,0.002939182,0.003165272,0,3436.86,3445.99,9.13,0.008365363,0.005878363,0,0,1173,101,9.528954192,17.44791667,0,0.7,1.4,0,0.000452182,0.000452182,0,0,2393,0,0.006556636,0.006782727,0,24,34304,91,0,0.005652272,0.008139272,0,45,93,0,12,4423,21,19400,30.64014916,0,15.6308266,0,30.54692356,0,23.18210068,0,0,24.5,33.6,0,0.495817319,0.504182681,6.3,0.471851684,0.479764865,0,0,4423,0.421207325,0
35025,0.085220568,0.091907839,0.072351784,0.073068278,0.075597078,0.074978927,0.065903344,0.057235178,0.055633605,0.091907839,0.058710312,0.05722113,0.046473729,0.034265243,0.024318629,0.019064344,0.013234055,0.013065468,0.003554369,0.003301489,0,4390.93,4394.2,3.27,0.020427086,0.024782242,0,0,317,371,8.274293846,12.82871358,0,5.7,14.7,0,0.000519809,0.000772689,0,0,24919,0,0.007291374,0.008682214,0,71,58994,14,0,0.008569823,0.010845743,0,212,17,6,51,71180,28,22962,29.2110768,0,12.57595378,0,29.62695488,0,28.58601454,0,0,16.6,20.9,3,0.484644563,0.515355437,6.2,0.444282102,0.466971059,0,0,71180,0.245139084,0
35027,0.048352214,0.05092688,0.048352214,0.046498455,0.043254377,0.046704428,0.041297631,0.045674562,0.052729145,0.05092688,0.074716787,0.083985582,0.091606591,0.092018538,0.071936148,0.051029866,0.03192585,0.025643666,0.003295572,0.001956746,0,4831.09,4831.31,0.22,0.00545829,0.005664264,0,0,267,234,7.486871718,14.64848971,0,3.6,4.2,0,0.000875386,0.001132853,0,0,17519,0,0.007981462,0.00684861,0,81,39995,20,0,0.01838311,0.020751802,0,85,22,16,40,19420,9,24732,33.8028169,0,26.13531657,0,26.68816638,0,13.37370014,0,0,20.1,33.2,2,0.503089598,0.496910402,5.8,0.467095778,0.460556128,0,0,19420,0.457878476,0
35028,0.05459657,0.061793646,0.066235592,0.047793084,0.039865055,0.056789429,0.060556649,0.061793646,0.067416362,0.061793646,0.086927186,0.083609784,0.072757942,0.054877706,0.040933371,0.029013213,0.019960641,0.024908631,0.031093618,0.035479337,0,109.17,109.26,0.09,0.003486084,0.004217037,0,5,321,434,1.848635931,1.703335699,1,76.5,164.4,0,0.000562272,0.000562272,0,0,8354,0,0.012538656,0.011976385,0,197,108477,56,0,0.007253303,0.007365758,0,160,77,72,14,17785,5,50723,22.23099392,0,64.00884187,0,10.97339544,0,2.786768769,0,0,4.2,4.6,1,0.493112173,0.506887827,4.1,0.43817824,0.44728704,0,0,17785,0.602530222,0
35029,0.076148136,0.0702749,0.068725018,0.066808059,0.056733828,0.054898442,0.047801615,0.049514642,0.053266988,0.0702749,0.057427196,0.059670446,0.058528428,0.060119096,0.054286647,0.042091525,0.029080675,0.023289012,0.004200995,0.003956277,0,2965.19,2965.36,0.17,0.008524349,0.008075699,0,0,503,134,11.28140499,18.52411916,0,3.7,8.5,0,0.001101232,0.000856514,0,3,10999,0,0.00840199,0.007463904,0,45,27268,36,0,0.011420181,0.011705686,0,40,43,6,26,24518,12,15549,23.0740672,0,13.89765485,0,32.52892767,0,30.49935029,0,0,30.6,38.3,5,0.499021127,0.500978873,17.6,0.465372379,0.468920793,0,0,24518,0.297536504,0
